species;longitude;latitude;source
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.98647615622655;45.9044162475736;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.88502755932721;45.9619988450581;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.00917494409804;46.0465365463256;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01442724562139;46.0458603698266;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.99695232138469;46.0044461509488;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.8800879800684;45.9610725970507;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.99712567829933;46.0105258904391;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.88509893786936;45.962258838673;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01267263003836;45.9240080163359;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01237787694798;45.9195855263881;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.98821226045821;45.8819715444589;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;8.74539987317213;46.179962938755;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01536601221923;46.0479436097948;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01536601221923;46.0479436097948;infoflora
Bromus erectus subsp. condensatus (Hack.) Asch. & Graebn.;9.01574653811608;46.046354752951;infoflora
Chrysopogon gryllus (L.) Trin.;8.73477913639012;46.1875796839696;infoflora
Chrysopogon gryllus (L.) Trin.;8.90917623421922;45.9528236501349;infoflora
Chrysopogon gryllus (L.) Trin.;8.99811318173461;46.313489223562;infoflora
Chrysopogon gryllus (L.) Trin.;8.74603671583693;46.1800545333007;infoflora
Chrysopogon gryllus (L.) Trin.;8.74442161787398;46.1802171685548;infoflora
Chrysopogon gryllus (L.) Trin.;8.78233941419966;46.1547699774858;infoflora
Chrysopogon gryllus (L.) Trin.;9.00478831274352;46.01567394482;infoflora
Chrysopogon gryllus (L.) Trin.;8.74445850701622;46.1806755807997;infoflora
Chrysopogon gryllus (L.) Trin.;8.7449617742361;46.1805977859237;infoflora
Chrysopogon gryllus (L.) Trin.;8.74606002258384;46.180486111887;infoflora
Chrysopogon gryllus (L.) Trin.;8.84332600894574;46.1833038431749;infoflora
Chrysopogon gryllus (L.) Trin.;8.99258641182266;46.0152762096105;infoflora
Chrysopogon gryllus (L.) Trin.;8.99571171716135;46.0084850886332;infoflora
Chrysopogon gryllus (L.) Trin.;8.74498723998502;46.180579497679;infoflora
Chrysopogon gryllus (L.) Trin.;8.74364820224475;46.2176889746366;infoflora
Chrysopogon gryllus (L.) Trin.;8.74407797036054;46.2172341683712;infoflora
Chrysopogon gryllus (L.) Trin.;8.98801600336982;46.1861170025565;infoflora
Chrysopogon gryllus (L.) Trin.;8.74623137298978;46.1800702733418;infoflora
Chrysopogon gryllus (L.) Trin.;8.642215565701;46.1671828903068;infoflora
Chrysopogon gryllus (L.) Trin.;9.05934264979182;46.2322899542574;infoflora
Chrysopogon gryllus (L.) Trin.;8.74800042294098;46.1949395619509;infoflora
Chrysopogon gryllus (L.) Trin.;8.99927500507666;46.0071131442735;infoflora
Chrysopogon gryllus (L.) Trin.;8.88512235238226;45.9621685680304;infoflora
Chrysopogon gryllus (L.) Trin.;8.96718353707319;45.8730197925369;infoflora
