taxa;x;y
Chrysopogon gryllus (L.) Trin.;2723234;1117481
Chrysopogon gryllus (L.) Trin.;2696310;1117815
Chrysopogon gryllus (L.) Trin.;2696318;1117806
Chrysopogon gryllus (L.) Trin.;2696332;1117820
Chrysopogon gryllus (L.) Trin.;2716655;1083500
Chrysopogon gryllus (L.) Trin.;2710257;1115739
Chrysopogon gryllus (L.) Trin.;2699759;1116176
Chrysopogon gryllus (L.) Trin.;2717133;1082947
Chrysopogon gryllus (L.) Trin.;2700865;1115207
Chrysopogon gryllus (L.) Trin.;2701018;1115137
Chrysopogon gryllus (L.) Trin.;2714372;1090468
Chrysopogon gryllus (L.) Trin.;2716629;1083513
Chrysopogon gryllus (L.) Trin.;2692989;1113572
Chrysopogon gryllus (L.) Trin.;2714634;1087209
Chrysopogon gryllus (L.) Trin.;2722968;1122214
Chrysopogon gryllus (L.) Trin.;2716962;1080873
Chrysopogon gryllus (L.) Trin.;2721320;1097388
Chrysopogon gryllus (L.) Trin.;2714185;1110535
Chrysopogon gryllus (L.) Trin.;2712131;1091097
Chrysopogon gryllus (L.) Trin.;2718162;1085173
Chrysopogon gryllus (L.) Trin.;2718193;1085190
Chrysopogon gryllus (L.) Trin.;2701963;1117241
Chrysopogon gryllus (L.) Trin.;2700316;1112231
Chrysopogon gryllus (L.) Trin.;2701895;1117192
Chrysopogon gryllus (L.) Trin.;2697424;1115538
Chrysopogon gryllus (L.) Trin.;2721308;1097240
Chrysopogon gryllus (L.) Trin.;2721302;1097236
Chrysopogon gryllus (L.) Trin.;2721284;1097224
Chrysopogon gryllus (L.) Trin.;2721289;1097229
Chrysopogon gryllus (L.) Trin.;2713392;1115591
Chrysopogon gryllus (L.) Trin.;2711947;1090941
Chrysopogon gryllus (L.) Trin.;2712023;1090919
Chrysopogon gryllus (L.) Trin.;2712033;1090903
Chrysopogon gryllus (L.) Trin.;2700735;1115238
Chrysopogon gryllus (L.) Trin.;2721274;1097228
Chrysopogon gryllus (L.) Trin.;2701481;1112241
Chrysopogon gryllus (L.) Trin.;2717071;1115530
Chrysopogon gryllus (L.) Trin.;2711742;1090999
Chrysopogon gryllus (L.) Trin.;2721868;1076381
Chrysopogon gryllus (L.) Trin.;2711745;1090999
Chrysopogon gryllus (L.) Trin.;2712119;1091094
Chrysopogon gryllus (L.) Trin.;2717326;1115532
Chrysopogon gryllus (L.) Trin.;2700690;1119198
Chrysopogon gryllus (L.) Trin.;2711888;1115390
Chrysopogon gryllus (L.) Trin.;2716998;1115539
Chrysopogon gryllus (L.) Trin.;2716994;1115562
Chrysopogon gryllus (L.) Trin.;2721245;1097222
Chrysopogon gryllus (L.) Trin.;2716655;1083500
Chrysopogon gryllus (L.) Trin.;2714145;1110699
Chrysopogon gryllus (L.) Trin.;2698991;1115806
Chrysopogon gryllus (L.) Trin.;2699426;1116135
Chrysopogon gryllus (L.) Trin.;2715318;1087797
Chrysopogon gryllus (L.) Trin.;2698031;1123059
